timestamp,ticker,side,entry_price,current_price,unrealized_pnl,pnl_pct,status
2025-12-29T03:39:47.841291,KXCPICOMBO-25DEC-027,yes,0.33,,,,open
2025-12-29T03:39:47.841291,_PORTFOLIO_TOTAL,,67.65,,,,summary
2025-12-29T04:03:20.929297,KXCPI-25DEC-T0.2,yes,0.45,,,,open
2025-12-29T04:03:20.929297,_PORTFOLIO_TOTAL,,236.25,,,,summary
2025-12-29T04:39:48.123933,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T04:39:48.123933,_PORTFOLIO_TOTAL,,67.65,67.65,0.0,0.0,summary
2025-12-29T04:57:32.129191,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T04:57:32.129191,_PORTFOLIO_TOTAL,,67.65,67.65,0.0,0.0,summary
2025-12-29T05:03:21.214244,KXCPI-25DEC-T0.2,yes,0.45,0.47,10.5,4.44,open
2025-12-29T05:03:21.214244,_PORTFOLIO_TOTAL,,236.25,246.75,10.5,4.44,summary
2025-12-29T05:11:36.453112,KXCPI-25DEC-T0.2,yes,0.45,0.47,10.5,4.44,open
2025-12-29T05:11:36.453112,_PORTFOLIO_TOTAL,,236.25,246.75,10.5,4.44,summary
2025-12-29T05:57:32.400559,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T05:57:32.400559,_PORTFOLIO_TOTAL,,67.65,67.65,0.0,0.0,summary
2025-12-29T06:06:24.866616,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T06:06:24.866616,_PORTFOLIO_TOTAL,,67.65,67.65,0.0,0.0,summary
2025-12-29T06:11:36.804466,KXCPI-25DEC-T0.2,yes,0.45,0.47,10.5,4.44,open
2025-12-29T06:11:36.804466,_PORTFOLIO_TOTAL,,236.25,246.75,10.5,4.44,summary
2025-12-29T06:20:56.162221,KXCPI-25DEC-T0.2,yes,0.45,0.47,10.5,4.44,open
2025-12-29T06:20:56.162221,KXCPICOMBO-25DEC-027,yes,0.33,,,,open
2025-12-29T06:20:56.162221,_PORTFOLIO_TOTAL,,459.99,,,,summary
2025-12-29T07:06:25.153879,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T07:06:25.153879,_PORTFOLIO_TOTAL,,67.65,67.65,0.0,0.0,summary
2025-12-29T07:13:36.413564,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T07:13:36.413564,_PORTFOLIO_TOTAL,,67.65,67.65,0.0,0.0,summary
2025-12-29T07:20:56.657560,KXCPI-25DEC-T0.2,yes,0.45,0.47,10.5,4.44,open
2025-12-29T07:20:56.657560,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T07:20:56.657560,_PORTFOLIO_TOTAL,,459.99,470.49,10.5,2.28,summary
